cal_date,cal_val,date_key,dist_val,steps_val,very_val,mod_val,light_val,active_mins,wfh_flg
10/31/16,2268.06,161031,511900,7472,4,14,0,18,0
11/01/16,2037.8,161101,415095,6059,0,0,0,0,1
11/02/16,2108.81,161102,305968,4466,0,0,0,0,0
11/03/16,2198.73,161103,364468,5320,0,0,0,0,0
11/04/16,2079.21,161104,242266,3536,0,0,0,0,0
11/05/16,2257.14,161105,544447,7947,2,16,0,18,1
11/06/16,2312.61,161106,439892,6421,0,0,0,0,1
11/07/16,1786.57,161107,311111,4541,0,0,0,0,0
11/08/16,2073.78,161108,141268,2062,0,0,0,0,1
11/09/16,2055.56,161109,316846,4625,0,0,0,0,0
11/10/16,2601.08,161110,360358,5260,88,16,0,104,0
11/11/16,2069.51,161111,1012527,11314,0,0,0,0,0
11/12/16,2313.72,161112,604833,8754,0,54,0,54,1
11/13/16,1955.31,161113,268765,3923,0,0,0,0,1
11/14/16,2172.76,161114,419693,5938,14,22,0,36,0
11/15/16,2473.19,161115,261847,3822,90,4,0,94,1
11/16/16,2047.92,161116,1044054,11703,2,16,0,18,0
11/17/16,2008.5,161117,327405,4779,0,0,0,0,0
11/18/16,1938.11,161118,270469,3948,0,0,0,0,0
11/19/16,2156.36,161119,290614,4242,0,0,0,0,1
11/20/16,2548.54,161120,339541,4956,92,4,0,96,1
11/21/16,2052.52,161121,1032262,11593,0,0,0,0,0
11/22/16,1931.3,161122,589373,7151,34,2,0,36,1
11/23/16,2002.93,161123,0,0,76,4,0,80,0
11/24/16,2211.96,161124,862141,10454,8,30,0,38,0
11/25/16,2253.63,161125,457503,6678,0,0,0,0,0
11/26/16,2434.21,161126,752411,10983,48,18,0,66,1
11/27/16,2267.6,161127,473186,6907,2,16,0,18,1
11/28/16,1861.17,161128,134007,1956,0,0,0,0,0
11/29/16,2072.5,161129,260945,3809,4,10,0,14,1
11/30/16,2053.17,161130,348639,5089,0,0,0,0,0
12/01/16,2491.64,161201,296705,4331,90,16,0,106,0
12/02/16,1967.87,161202,910605,9941,0,0,0,0,0
12/03/16,2197.95,161203,387906,5662,0,0,0,0,1
12/04/16,2046.76,161204,277468,4050,0,0,0,0,1
12/05/16,2050.66,161205,385900,5633,0,0,0,0,0
12/06/16,2004.33,161206,305132,4454,0,0,0,0,1
12/07/16,2084.71,161207,298419,4356,0,0,0,0,0
12/08/16,2012.69,161208,322037,4639,2,14,0,16,0
12/09/16,2063.02,161209,206965,3021,0,0,0,0,0
12/10/16,1630.2,161210,282943,4130,0,0,0,0,1
12/11/16,2023.94,161211,150510,2197,0,0,0,0,1
12/12/16,2108.36,161212,304655,4447,2,28,0,30,0
12/13/16,2238.15,161213,441673,6447,48,22,0,70,1
12/14/16,2076.58,161214,480378,6948,0,0,0,0,0
12/15/16,2011.71,161215,167441,2444,0,0,0,0,0
12/16/16,1963.05,161216,382546,5584,0,0,0,0,0
12/17/16,2767.96,161217,451129,6585,96,46,0,142,1
12/18/16,2166.54,161218,1156945,13336,22,24,0,46,1
12/19/16,2043.72,161219,382820,5588,0,0,0,0,0
12/20/16,1992.43,161220,282393,4122,0,0,0,0,1
12/21/16,2344.95,161221,504896,7370,40,6,0,46,0
12/22/16,1893.54,161222,378195,5378,0,0,0,0,0
12/23/16,2023.28,161223,151954,2218,0,0,0,0,0
12/24/16,2033.27,161224,430748,6224,0,0,0,0,1
12/25/16,2269.25,161225,473055,6905,0,0,0,0,1
12/26/16,2552.91,161226,392494,5729,10,30,0,40,0
12/27/16,2597.35,161227,786755,11484,16,56,0,72,1
12/28/16,2617.92,161228,865862,12639,4,60,0,64,0
12/29/16,2440.03,161229,829358,12106,10,22,0,32,0
12/30/16,2033.18,161230,280140,4089,0,0,0,0,0
12/31/16,2152.94,161231,431122,6293,16,8,0,24,1
01/01/17,1874.37,170101,229168,3345,0,0,0,0,1
01/02/17,1855.7,170102,146622,2140,0,0,0,0,0
01/03/17,2131.6,170103,240568,3448,2,28,0,30,1
01/04/17,2112.94,170104,609192,8827,40,10,0,50,0
01/05/17,1818.3,170105,147084,2147,0,0,0,0,0
01/06/17,2167.89,170106,412187,5956,20,8,0,28,0
01/07/17,2016.48,170107,265682,3878,0,0,0,0,1
01/08/17,2142.02,170108,320833,4683,0,0,0,0,1
01/09/17,2088.7,170109,340210,4966,0,0,0,0,0
01/10/17,2245.49,170110,431156,6232,66,0,0,66,1
01/11/17,2139.35,170111,594133,8548,18,2,0,20,0
01/12/17,2138.87,170112,491476,6799,24,14,0,38,0
01/13/17,2096.07,170113,369834,5335,0,0,0,0,0
01/14/17,2079.11,170114,256976,3751,0,10,0,10,1
01/15/17,1848.99,170115,445300,6500,6,12,0,18,1
01/16/17,1701.42,170116,0,0,8,8,0,16,0
01/17/17,2091.95,170117,378911,5531,0,0,0,0,1
01/18/17,2068.81,170118,269384,3932,0,0,0,0,0
01/19/17,2268.6,170119,435503,6357,14,14,0,28,0
01/20/17,1994.58,170120,449885,6567,0,0,0,0,0
01/21/17,2478.87,170121,444879,6494,24,42,0,66,1
01/22/17,2184.26,170122,463325,6763,24,34,0,58,1
01/23/17,2241.37,170123,589842,8531,0,12,0,12,0
01/24/17,2196.26,170124,454555,6635,0,14,0,14,1
01/25/17,2198.04,170125,507982,7415,0,28,0,28,0
01/26/17,2218.74,170126,630326,9201,42,44,0,86,0
01/27/17,2049.84,170127,363431,5299,0,0,0,0,0
01/28/17,2217.03,170128,420855,6143,0,0,0,0,1
01/29/17,1847.34,170129,157300,2296,0,0,0,0,1
